date,company,sector,last_price,opening_price,high,low,volume,variation,price_sma_7,price_std_7,volume_sma_7,momentum_3d,price_accel,rel_sector_strength
2025-04-01,ADWYA,Healthcare,19.396,19.377,19.535,19.373,30245,-0.6972303906855184,19.396,0.0,30245.0,0.0,0.0,0.6838486760920919
2025-04-02,ADWYA,Healthcare,19.32,19.243,19.32,19.037,35473,-0.303260779207795,19.358,0.05374011537017798,32859.0,0.0,0.0,0.6790145151653605
2025-04-03,ADWYA,Healthcare,19.043,19.12,19.265,18.992,41531,1.1360580894751666,19.253,0.1857928954508226,35749.666666666664,0.0,0.0,0.6694673932149762
2025-04-04,ADWYA,Healthcare,19.306,19.381,19.572,19.306,21891,-0.2293738076352562,19.26625,0.15399648264381527,32285.0,-0.4640131985976459,-0.4640131985976459,0.6786576363338099
2025-04-05,ADWYA,Healthcare,18.96,18.878,19.14,18.834,43109,1.565522827606003,19.205000000000002,0.19116485032557606,34449.8,-1.8633540372670732,-1.3993408386694273,0.6689403739856521
2025-04-06,ADWYA,Healthcare,19.392,19.38,19.479,19.298,33282,-0.6732871430879364,19.236166666666666,0.18725214729520898,34255.166666666664,1.8326944283988844,3.6960484656659576,0.6823363828289936
2025-04-07,ADWYA,Healthcare,19.282,19.362,19.572,19.072,24531,-0.1061543751821085,19.24271428571429,0.1718126055578327,32866.0,-0.12431368486481853,-1.957008113263703,0.6788799173786499
2025-04-08,ADWYA,Healthcare,19.169,19.154,19.169,18.957,38395,0.482290050773194,19.210285714285714,0.1590038933335849,34030.28571428572,1.1023206751054726,1.2266343599702911,0.6705026408758614
2025-04-09,ADWYA,Healthcare,19.592,19.647,19.786,19.415,33254,-1.7133059434534048,19.249142857142857,0.21400656420729083,33713.28571428572,1.0313531353135286,-0.07096753979194403,0.6847636134864972
2025-04-10,ADWYA,Healthcare,19.527,19.485,19.593,19.261,27106,-1.3744517434623753,19.318285714285715,0.21449064803678008,31652.571428571428,1.2706150814230988,0.2392619461095702,0.6875462131615084
2025-04-11,ADWYA,Healthcare,19.533,19.594,19.722,19.489,26400,-1.4080522590250557,19.350714285714286,0.22899324173849453,32296.714285714286,1.8988992644373814,0.6282841830142827,0.682900395063455
2025-04-12,ADWYA,Healthcare,19.43,19.476,19.715,19.24,24347,-0.8722267839902154,19.417857142857144,0.15094085880616587,29616.428571428572,-0.8268681094324215,-2.725767373869803,0.6783349431520639
2025-04-13,ADWYA,Healthcare,19.158,19.084,19.158,19.003,33334,0.5411508123229458,19.384428571428572,0.1806164048869472,29623.85714285714,-1.8896911968044217,-1.0628230873720002,0.6680459823556077
2025-04-14,ADWYA,Healthcare,18.967,18.934,19.064,18.774,29824,1.5299679262715742,19.339428571428574,0.2399005746435086,30380.0,-2.8976603696308945,-1.0079691728264728,0.6713507008353391
2025-04-15,ADWYA,Healthcare,19.429,19.358,19.625,19.268,36903,-0.8694037288195333,19.376571428571427,0.228995529172411,30166.85714285714,-0.005146680391154845,2.8925136892397396,0.6840795727950237
2025-04-16,ADWYA,Healthcare,19.218,19.228,19.309,19.093,36975,0.2260642983538194,19.32314285714286,0.2134583710948713,30698.428571428572,0.3131850923896007,0.31833177278075553,0.6724361142537235
